"Keyword","Avg. Search Volume","Location","CPC","PPC","Keyword Difficulty","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020"
"materiel de peche pas cher",920,"France",0.2,100,33,,,,1900,1000,720,880,720,1000,1000,1600,1600,1900,1300,1000,1000,880,880,1000,880,1000,880,1900,1900,2400,1900,1900,2400,1300,1300,1000,880,1300,1300,1600,1300,1600,1300,880,1000,1000,720,720,720,880,880,1000,1000,1300,1000,1000,1000,1000,590,880,590,880
"peche truite",2300,"France",0.33,21,24,,,,2400,1600,1300,1300,1600,2400,4400,6600,4400,3600,1900,2400,2900,1900,1300,1300,1600,2400,4400,5400,3600,2900,1900,2400,2900,1600,1000,1000,1000,1900,2900,4400,2900,2400,1600,1600,2400,1600,1300,880,1000,1600,3600,4400,2900,2400,1900,2400,3600,1900,1300,1000,1300,1600
"peche en mer",4700,"France",0.33,41,30,,,,12100,6600,6600,6600,6600,8100,8100,8100,8100,9900,8100,9900,14800,9900,8100,6600,6600,6600,6600,6600,6600,6600,6600,8100,9900,5400,5400,5400,4400,5400,4400,5400,5400,6600,5400,8100,9900,5400,4400,3600,4400,3600,3600,4400,3600,4400,4400,6600,9900,5400,3600,3600,3600,3600
"site de peche",1500,"France",0.22,71,28,,,,1600,1300,1300,1300,1300,1600,1300,1600,1600,1600,1600,1300,1300,1000,1000,1000,1300,1000,1300,1300,1300,1600,1300,1300,1900,1300,1300,1300,1000,1300,1300,1600,1600,1900,1300,1300,1600,1300,1300,1300,1000,1300,1300,1600,1600,1900,1600,1900,1900,1600,1300,1300,1300,1300
"materiel de peche en mer",920,"France",0.32,100,31,,,,880,720,720,590,480,590,480,480,720,720,720,590,1000,880,880,720,880,720,720,880,720,880,1000,1300,1600,1000,880,720,720,720,720,720,720,720,720,880,1000,880,720,590,590,720,720,880,880,1000,1000,1000,1300,1300,720,720,720,880
"magasin de peche en ligne",940,"France",0.24,100,41,,,,1300,880,720,720,720,1000,720,1000,880,1000,720,720,880,720,720,720,720,880,720,720,880,880,880,880,880,720,720,720,480,880,880,880,720,880,880,720,880,720,720,720,720,1000,1000,1300,880,1000,880,1000,1300,880,720,720,720,880
"permis de peche",10300,"France",0.14,1,40,,,8100,8100,3600,2400,1900,4400,8100,8100,18100,9900,9900,6600,8100,8100,3600,2400,1900,4400,8100,9900,22200,14800,12100,8100,9900,9900,4400,2900,1900,3600,6600,5400,18100,14800,12100,6600,8100,9900,5400,2900,1900,4400,8100,12100,27100,14800,12100,9900,9900,12100,5400,2900,2400,5400,9900
"peche brochet",1500,"France",0.35,96,31,,,,2400,1900,2400,1900,1900,1900,1300,1600,2400,2900,1600,1900,2400,1900,2400,1900,1900,1600,1300,1600,1900,2900,1600,1600,1900,1600,1600,1600,1600,1300,880,1000,1600,2400,1300,1300,1600,1600,1600,1300,1300,1300,880,1000,1900,2400,1300,1600,1900,1600,1600,1600,1600,1600
"canne a peche telescopique",600,"France",0.31,100,,,,,720,480,320,320,390,480,480,590,590,880,480,590,720,590,390,390,320,390,390,480,480,480,590,590,720,390,390,320,260,260,320,480,480,720,480,590,720,480,480,390,320,480,390,590,590,720,590,720,880,720,480,480,480,590
"article de peche pas cher",480,"France",0.22,100,35,,,,880,480,590,480,590,720,590,880,880,1300,590,720,720,720,880,720,480,390,480,1000,1000,1000,720,590,720,590,480,480,480,480,480,720,590,720,590,480,590,590,480,390,260,320,390,590,720,720,590,590,480,390,320,390,390,260
"peche carnassier",1300,"France",0.27,99,35,,,,1600,1300,1600,1600,1600,1600,1000,1300,1900,2400,1300,1300,1300,1300,1600,1600,1600,1300,1000,1300,1900,2400,1600,1300,1600,1600,1600,1300,1000,1300,880,1000,1600,1900,1300,1000,1600,1300,1300,1000,1300,1300,1000,1000,1600,1900,1300,1300,1600,1600,1300,1300,1300,1300
"article peche",1700,"France",0.37,23,41,,,,3600,2400,3600,4400,4400,5400,3600,4400,5400,5400,4400,4400,4400,3600,4400,4400,5400,6600,5400,5400,5400,5400,4400,5400,4400,3600,3600,3600,3600,4400,2900,3600,2900,2900,2400,2400,2900,1900,1900,2400,1900,2900,2400,2400,2400,2400,1600,1600,1300,1000,1300,1300,1600,1600
"moulinet",3600,"France",0.23,100,26,,,,2900,2400,2400,2400,2400,2900,2400,2900,2900,3600,2900,2900,3600,3600,2900,3600,2900,2900,2400,2900,2900,3600,3600,3600,4400,3600,3600,2900,2400,2900,2400,2900,2900,3600,2900,3600,4400,3600,2900,2400,2400,2900,2900,3600,2900,3600,3600,4400,5400,3600,3600,2900,3600,3600
"peche mouche",1500,"France",0.47,100,43,,,,2400,1900,1900,1900,2400,2900,2900,2900,2400,1900,1600,1300,1600,1300,1300,1300,1900,1900,1900,2400,1900,1600,1600,1600,1600,1300,1300,1300,1600,1900,1600,1900,1600,1600,1300,1000,1300,1300,1000,1000,1300,1600,1600,1600,1600,1300,1300,1300,1300,1300,2400,1900,1300,1300
"leurre",8700,"France",0.18,86,31,,,,6600,6600,9900,6600,6600,8100,6600,8100,8100,8100,6600,6600,8100,6600,8100,6600,6600,6600,6600,8100,8100,8100,6600,6600,8100,6600,8100,8100,6600,8100,6600,8100,6600,8100,8100,6600,8100,6600,8100,8100,8100,8100,6600,8100,8100,9900,8100,9900,9900,8100,9900,9900,8100,8100
